%time,field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.alt_error,field.aspd_error,field.xtrack_error,delta_yaw,delta_pitch,delta_roll,delta_x,delta_y,delta_z,delta_roll_airspeed
2018-07-21 01:05:25.050,,,,,,,,,,21.3981399536,14.2055568695,1.7093654871,0.130147561431,-0.435943514109,0.20942287147,-0.5,-897.40045166,-36.0112304688,-189.7900466919,2.5880250930800006,93.7500152587,-27.555492401099997,-30.30620670318,2.363749027249998,-8.9740047455
2018-07-21 01:05:25.100,,,,,,,,,,21.3981399536,14.2055568695,1.7093654871,0.130147561431,-0.435943514109,0.20942287147,-0.5,-897.40045166,-36.0112304688,-189.7900466919,2.31802511216,93.4400177002,-27.8599367142,-29.63418674468,3.4640569686899982,-8.9740047455
2018-07-21 01:05:25.150,,,,,,,,,,21.3981399536,14.2055568695,1.7093654871,0.130147561431,-0.435943514109,0.20942287147,-0.829999983311,-914.201538086,-33.5357093811,-190.7900466919,3.62802505494,93.4700164794,-27.8935642242,-29.48482799528,3.719036579129998,-9.1420154572
2018-07-21 01:05:25.200,,,,,,,,,,19.4778518677,14.8614454269,4.90411996841,0.130147561431,-0.435943514109,0.20942287147,-0.829999983311,-914.201538086,-33.5357093811,-190.7900466919,3.61802482605,93.2900161743,-21.862177848770003,-34.2091779709,4.303529739379999,-9.1420154572
2018-07-21 01:05:25.250,,,,,,,,,,19.4778518677,14.8614454269,4.90411996841,0.130147561431,-0.435943514109,0.20942287147,-1.31999993324,-928.78515625,56.575138092,-149.7900466919,3.7580251693799998,6.070018768300002,-21.65208721157,-33.634560585,5.417090415949999,-8.287851333599999
2018-07-21 01:05:25.300,,,,,,,,,,19.4778518677,14.8614454269,4.90411996841,0.130147561431,-0.435943514109,0.20942287147,-1.31999993324,-928.78515625,56.575138092,-137.28668975829999,-10.51467609405,-45.15778732302,-21.31738185887,-33.1591825485,6.242279529569999,-8.1476840973
2018-07-21 01:05:25.350,-0.0552263483152,0.122385409768,-0.28958449412,1.49052727222,-0.466057986021,0.305598318577,-0.392266,0.85317855,22.09438245,19.4778518677,14.8614454269,4.90411996841,0.130147561431,-0.435943514109,0.20942287147,-1.97999989986,-814.768432617,56.0734558105,-138.28668975829999,-11.024676322929999,-44.91778945922,-21.31738185887,-33.1591825485,6.242279529569999,-8.1476840973
2018-07-21 01:05:25.400,-0.0552263483152,0.122385409768,-0.28958449412,1.49052727222,-0.466057986021,0.305598318577,-0.392266,0.85317855,22.09438245,18.222038269,14.0106334686,6.87817525864,1.49052727222,-0.466057986021,0.305598318577,-1.97999989986,-814.768432617,56.0734558105,-138.28668975829999,-11.09467601775,-44.59778976442,-20.928963661170002,-32.648982048,6.878175258639999,-8.1476840973
2018-07-21 01:05:25.450,-0.0552263483152,0.122385409768,-0.28958449412,1.49052727222,-0.466057986021,0.305598318577,-0.392266,0.85317855,22.09438245,18.222038269,14.0106334686,6.87817525864,1.49052727222,-0.466057986021,0.305598318577,-2.76999998093,-792.278076172,55.6064147949,-138.28668975829999,-12.52467608451,-44.42778778072,-20.75442218777,-32.395447731,7.104361534119999,-7.9227809906
2018-07-21 01:05:25.500,-0.0552263483152,0.122385409768,-0.28958449412,1.49052727222,-0.466057986021,0.305598318577,-0.392266,0.85317855,22.09438245,18.222038269,14.0106334686,6.87817525864,1.49052727222,-0.466057986021,0.305598318577,-3.63999986649,-771.004516602,55.1740188599,-139.28668975829999,-13.99467611312,-44.14778900142,-20.674606323269998,-32.2553701401,7.234256267549999,-7.9227809906
